Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture,Verified by,Description
Basic Tools,3' Normal Stem,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",3,36,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,3' Normal Stem,"2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",3,50,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,5' Normal Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",5,46.9,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,5' Normal Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",5,30,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,5' Normal Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",5,20.8,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,5' Normal Stem,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",5,69,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,5' Normal Stem,"2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",5,83,Yes,,Adds mass to the toolstring to deliver impact energy for jarring and to stabilize the BHA.
Basic Tools,"20"" Mechanical Link Jar (Spang)","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",5,28.1,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"20"" Mechanical Link Jar (Spang)","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",5,18,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"20"" Mechanical Link Jar (Spang)","1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",5,12.5,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"20"" Mechanical Link Jar (Spang)","2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",5,40,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"20"" Mechanical Link Jar (Spang)","2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",5,50,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"30"" Mechanical Link Jar (Spang)","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",6,37.5,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"30"" Mechanical Link Jar (Spang)","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",6,24,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"30"" Mechanical Link Jar (Spang)","1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",6,16.7,Yes,,"Mechanical Link Jar that acts like a sliding hammer; uses stem weight and jar stroke (20""/30"") to deliver bidirectional impacts."
Basic Tools,"20"" Mechanical Tubular Jar","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",4.7,23.1,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"20"" Mechanical Tubular Jar","1-3/4""",1.75,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",4.8,23.1,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"20"" Mechanical Tubular Jar","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",4.9,23.1,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"20"" Mechanical Tubular Jar","2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",5,23.1,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"20"" Mechanical Tubular Jar","2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",5.2,23.1,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"30"" Mechanical Tubular Jar","1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",6.4,37.5,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"30"" Mechanical Tubular Jar","1-3/4""",1.75,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",6.5,37.5,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"30"" Mechanical Tubular Jar","1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",6.6,37.5,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"30"" Mechanical Tubular Jar","2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",6.7,37.5,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,"30"" Mechanical Tubular Jar","2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",6.8,37.5,Yes,,Mechanical tubular jar that delivers up/down impact through a mechanical latch and stroke; used during fishing.
Basic Tools,Hydraulic Jar,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",3.6,28.1,Yes,,"Hydraulic time delay jar that provides controlled, powerful upwards impact."
Basic Tools,Hydraulic Jar,"1-3/4""",1.75,"1-7/8"" HDQRJ","1-7/8"" HDQRJ",3.6,8.5,Yes,,"Hydraulic time delay jar that provides controlled, powerful upwards impact."
Basic Tools,Hydraulic Jar,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",3.6,18,Yes,,"Hydraulic time delay jar that provides controlled, powerful upwards impact."
Basic Tools,Hydraulic Jar,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",3.6,12.5,Yes,,"Hydraulic time delay jar that provides controlled, powerful upwards impact."
Basic Tools,Spring Jar,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",5.6,19.8,Yes,,Spring loaded jar providing powerful upward impacts.
Basic Tools,Spring Jar,"1-3/4""",1.75,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",6,26.4,Yes,,Spring loaded jar providing powerful upward impacts.
Basic Tools,Spring Jar,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",6,30.8,Yes,,Spring loaded jar providing powerful upward impacts.
Basic Tools,Spring Jar,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",5.8,36.3,Yes,,Spring loaded jar providing powerful upward impacts.
Basic Tools,Spring Jar,"2-1/2""",2.5,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",7.3,57.2,Yes,,Spring loaded jar providing powerful upward impacts.
Basic Tools,Upstroke Jar,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",2.3,13.8,No,,Jarring tool designed to deliver impact only in the upward direction for releasing latches or freeing fish.
Basic Tools,Upstroke Jar,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",2.6,24.4,No,,Jarring tool designed to deliver impact only in the upward direction for releasing latches or freeing fish.
Basic Tools,Upstroke Jar,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",2.9,35.3,No,,Jarring tool designed to deliver impact only in the upward direction for releasing latches or freeing fish.
Basic Tools,Accelerator,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",1.8,5,Yes,,Jarring accelerator/shock absorber that stores energy (gas/spring) to increase jar impact while reducing recoil and protecting the string.
Basic Tools,Accelerator,"1-3/4""",1.75,"15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ","15/16"" SR, 1-1/2"" QLS, 1-1/2"" HDQRJ",2.2,8,Yes,,Jarring accelerator/shock absorber that stores energy (gas/spring) to increase jar impact while reducing recoil and protecting the string.
Basic Tools,Accelerator,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" QLS, 1-7/8"" HDQRJ",2.2,10,Yes,,Jarring accelerator/shock absorber that stores energy (gas/spring) to increase jar impact while reducing recoil and protecting the string.
Basic Tools,Accelerator,"2-1/8""",2.125,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",3.2,20,Yes,,Jarring accelerator/shock absorber that stores energy (gas/spring) to increase jar impact while reducing recoil and protecting the string.
Basic Tools,Accelerator,"2-1/2""",2.5,"1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ","1-9/16"" SR, 2-1/2"" QLS, 2-1/2"" HDQRJ",2.9,25,Yes,,Jarring accelerator/shock absorber that stores energy (gas/spring) to increase jar impact while reducing recoil and protecting the string.
Basic Tools,Accelerator,3,3,"1-9/16"" SR","1-9/16"" SR",3.2,30,Yes,,Jarring accelerator/shock absorber that stores energy (gas/spring) to increase jar impact while reducing recoil and protecting the string.
Basic Tools,Knuckle Jar,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",1.1,3,Yes,,For light impact during logging operations.
Basic Tools,Knuckle Jar,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",1.2,4,Yes,,For light impact during logging operations.
Basic Tools,Knuckle Jar,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",1.3,4.1,Yes,,For light impact during logging operations.
Basic Tools,Knuckle Jar,"2-1/2""",2.5,"2-1/2"" SR, 2-1/2"" QLS","2-1/2"" SR, 2-1/2"" QLS",1.6,8.4,Yes,,For light impact during logging operations.
Standard Service Tools,Drift,"2.890""",2.89,"1-1/16"" SR",,1,20,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"2.867""",2.867,"1-1/16"" SR",,1,15,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"2.800""",2.8,"1-1/16"" SR",,1,15,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"2.735""",2.735,"1-1/16"" SR",,1,15,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"2.72""",2.72,"1-1/16"" SR",,1,15,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"2.302""",2.302,"15/16"" SR",,1,15,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"2.27""",2.27,"15/16"" SR",,1,15,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"1.860""",1.86,"15/16"" SR",,1,15,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"5.890""",5.89,"1-9/16"" SR",,1,50,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"5.850""",5.85,"1-9/16"" SR",,1,45,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"5.610""",5.61,"1-9/16"" SR",,1,40,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"4.500""",4.5,"1-9/16"" SR",,1,35,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"3.800""",3.8,"1-9/16"" SR",,1,30,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Drift,"3.100""",3.1,"1-1/16"" SR",,1,25,Yes,,Cylindrical gauge used to verify internal diameter/clearance through restrictions or across the tubing (Tubing Clearance Check).
Standard Service Tools,Gauge Cutter,"2.890""",2.89,"1-1/16"" SR",,1,10,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"2.867""",2.867,"1-1/16"" SR",,1,10,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"2.800""",2.8,"1-1/16"" SR",,1,10,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"2.735""",2.735,"1-1/16"" SR",,1,10,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"2.72""",2.72,"1-1/16"" SR",,1,10,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"2.302""",2.302,"15/16"" SR",,1,10,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"1.860""",1.86,"15/16"" SR",,1,10,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"5.85""",5.85,"1-1/16"" SR",,1,15,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"5.61""",5.61,"1-1/16"" SR",,1,14,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Standard Service Tools,Gauge Cutter,"3.1""",3.1,"1-1/16"" SR",,1,12,Yes,,Drifts the tubing and removes light scale/paraffin to verify clear ID before running other tools.
Basic Tools,2' Roller Stem,"1-7/8""",2.5,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",2,18.8,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,2' Roller Stem,"1-1/2""",1.8,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",2,12,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,2' Roller Stem,"1-1/4""",1.626,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",2,8.3,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,2' Roller Stem,"2-1/2""",2.876,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",2,33,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,2' Roller Stem,"2-1/8""",2.759,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",2,24,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,3' Roller Stem,"1-7/8""",2.5,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",3,28.1,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,3' Roller Stem,"1-1/2""",1.8,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",3,18,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,3' Roller Stem,"1-1/4""",1.626,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",3,12.5,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,3' Roller Stem,"2-1/2""",2.876,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",3,50,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,3' Roller Stem,"2-1/8""",2.759,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",3,36,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,5' Roller Stem,"1-7/8""",2.5,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",5,46.9,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,5' Roller Stem,"1-1/2""",1.8,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",5,30,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,5' Roller Stem,"1-1/4""",1.626,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",5,20.8,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,5' Roller Stem,"2-1/2""",2.876,"2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ","2-1/2"" QLS, 1-9/16"" SR, 2-1/2"" HDQRJ",5,83,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,5' Roller Stem,"2-1/8""",2.759,"1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ","1-7/8"" QLS, 1-1/16"" SR, 1-7/8"" HDQRJ",5,60,Yes,,Adds mass to the toolstring and uses rollers to handle high deviations.
Basic Tools,Roller Bogie,"1.60""",1.6,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",1.7,7,Yes,,Provides rollers to handle high deviations. Contains a swivel for rotational flexibility.
