Category,Brand,Tool Name,Nominal Size,Bore ID,Service,Working Pressure,Top Connection,Lower Connection,Length (ft),Weight (kg),Picture,Verified by,Description
Lubricators,Parveen,Lubricator 4ft,"3.5""",3,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",4,40,Yes,,To house the tool string in preparation for running into the well
BOP,Parveen,Dual Ram BOP,"3.5""",3,STD,5K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,232,Yes,,Seals around wire in case of blowout
Lubricators,Parveen,Lubricator 8ft,"4.5""",4,STD,,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,296,Yes,,To house the tool string in preparation for running into the well
Lubricators,Parveen,Lubricator 4ft,"4.5""",4,STD,,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",4,140,Yes,,To house the tool string in preparation for running into the well
BOP,Parveen,Dual Ram BOP,"4.5""",4,STD,,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,575,Yes,,Seals around wire in case of blowout
Stuffing Boxes,Parveen,Stuffing Box,"3.5""",,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,58,Yes,,Guides the slickline into the top of the lubricator and contains well pressure
Lubricators,Parveen,Lubricator 8ft,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",8,128,Yes,,To house the tool string in preparation for running into the well
Lubricators,Parveen,Lubricator 4ft,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",4,60,Yes,,To house the tool string in preparation for running into the well
BOP,Parveen,Dual Ram BOP,"3.5""",3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 5-3/4""- 4 ACME",3,266,Yes,,Seals around wire in case of blowout
Stuffing Boxes,Hunting,Stuffing Box,"3.5""",,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",3,38,Yes,,Guides the slickline into the top of the lubricator and contains well pressure
Lubricators,Hunting,Lubricator 10ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",10,56,Yes,,To house the tool string in preparation for running into the well
Lubricators,Hunting,Lubricator 8ft + NPT Port,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",8,48,Yes,,To house the tool string in preparation for running into the well
Lubricators,Hunting,Lubricator 8ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",8,48,Yes,,To house the tool string in preparation for running into the well
Lubricators,Hunting,Lubricator 6ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",6,40,Yes,,To house the tool string in preparation for running into the well
Lubricators,Hunting,Lubricator 4ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",4,32,Yes,,To house the tool string in preparation for running into the well
Lubricators,Hunting,Lubricator 3ft,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",3,28,Yes,,To house the tool string in preparation for running into the well
BOP,Hunting,Dual Ram BOP,"3.5""",3,H2S,5K,"Otis 5""- 4 ACME","Otis 5""- 4 ACME",3,293,Yes,,Seals around wire in case of blowout
Stuffing Boxes,Exwell,Stuffing Box,"16""",,H2S,10K,,"Otis 5-3/4""- 4 ACME",3,42,Yes,,Guides the slickline into the top of the lubricator and contains well pressure
Lubricators,Exwell,Lubricator 8ft + NPT Port,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",8,515,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell,Lubricator 8ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",8,515,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell,Lubricator 6ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",6,413,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell,Lubricator 4ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",4,313,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell,Lubricator 3ft,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",3,264,Yes,,To house the tool string in preparation for running into the well
BOP,Exwell,Dual Ram BOP,"7""",6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",4.62,1520,Yes,,Seals around wire in case of blowout
Lubricators,Exwell (Big),Lubricator 8ft + NPT Port,"7""",7.06,H2S,10K,"Bowen 13-1/2""-4 ACME","Bowen 13-1/2""-4 ACME",8,615,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell (Big),Lubricator 8ft,"7""",7.06,H2S,10K,"Bowen 13-1/2""-4 ACME","Bowen 13-1/2""-4 ACME",8,615,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell (Big),Lubricator 6ft,"7""",7.06,H2S,10K,"Bowen 13-1/2""-4 ACME","Bowen 13-1/2""-4 ACME",6,460,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell (Big),Lubricator 4ft,"7""",7.06,H2S,10K,"Bowen 13-1/2""-4 ACME","Bowen 13-1/2""-4 ACME",4,310,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell (Big),Lubricator 3ft,"7""",7.06,H2S,10K,"Bowen 13-1/2""-4 ACME","Bowen 13-1/2""-4 ACME",3,311,Yes,,To house the tool string in preparation for running into the well
Lubricators,Exwell (Big),Lubricator 10ft,"7""",7.06,H2S,10K,"Bowen 13-1/2""-4 ACME","Bowen 13-1/2""-4 ACME",10,615,Yes,,To house the tool string in preparation for running into the well
BOP,Exwell (Big),Dual Ram BOP,"7""",7.06,H2S,10K,"Bowen 13-1/2""-4 ACME","Bowen 13-1/2""-4 ACME",4.62,2250,Yes,,Seals around wire in case of blowout
X-Overs,RMZ,"X-Over (5"" 'O' X 4-3/4"" 'B')",-,3,H2S,5K,"Otis 5""- 4 ACME","Bowen 4-3/4""- 4 ACME",1.5,18,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,RMZ,"X-Over (5"" 'O' X 4-3/4"" Solar Alert)",-,3,H2S,5K,"Otis 5""- 4 ACME","Solar Alert 4-3/4""- 4 ACME",1.5,18,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,RMZ,"X-Over (5"" 'O' X 2-3/8"" MCEvoy)",-,2.1,H2S,5K,"Otis 5""- 4 ACME","2-3/8"" MCEvoy",1.5,12,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,RMZ,"X-Over (5"" 'O' X Cameron)",-,3,H2S,5K,"Otis 5""- 4 ACME","4-21/64""- 4 Cameron",1.5,12,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,RMZ,"X-Over (5-3/4"" 'O' X 8-3/8"" 'O')",-,3.06,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 8-3/8""- 4 ACME",2,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,RMZ,"X-Over (11-1/2"" 'O' X 9-1/2"" 'O')",-,6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 9-1/2""- 4 ACME",1.5,93,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,RMZ,"X-Over (8-3/8"" 'O' X 11-1/2"" 'O')",-,4.06,H2S,10K,"Otis 8-3/8""- 4 ACME","Otis 11-1/2""- 4 ACME",1.5,110,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (5-3/4"" 'O' X 13"" 'B')",-,3,H2S,10K,"Otis 5-3/4""- 4 ACME","Bowen 13-1/2""- 4 ACME",1.5,165,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (13"" 'B' X 11-1/2"" 'O')",-,6.625,H2S,10K,"Bowen 13-1/2""- 4 ACME","Otis 11-1/2""- 4 ACME",1.5,200,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (13"" 'B' X 9"" 'O')",-,3,H2S,10K,"Bowen 13-1/2""- 4 ACME","Otis 9""- 4 ACME",1.5,200,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (11-1/2"" 'O' X 9-1/2"" 'O') 15in",-,6.625,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 9-1/2""- 4 ACME",2,103,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (11-1/2"" 'O' X 7"" 'B')",-,3,H2S,10K,"Otis 11-1/2""- 4 ACME","Bowen 7""- 5 ACME",1.67,112,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (11-1/2"" 'O' X 9-1/2"" 'O')",-,4,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 9-1/2""- 4 ACME",1.67,139,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (11-1/2"" 'O' X 9"" 'O')",-,5.12,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 9""- 4 ACME",1.67,125,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (11-1/2"" 'O' X 11-1/2"" 'B')",-,6.63,H2S,10K,"Otis 11-1/2""- 4 ACME","Bowen 11-1/2""- 4 ACME (Non Std)",1.67,146,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (11-1/2"" 'O' X 8-1/4"" 'B')",-,4,H2S,10K,"Otis 11-1/2""- 4 ACME","Bowen 8-1/4""- 4x2 ACME",1.67,113,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,RMZ,"X-Over (5"" 'O' X 2-3/8"" MCEvoy)",-,3,H2S,5K,"Otis 5""- 4 ACME","2-3/8"" MCEvoy",1.5,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (5"" 'O' X 3-1/2"" MCEvoy)",-,3,H2S,5K,"Otis 5""- 4 ACME","3-1/2"" MCEvoy",1.5,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,OMS,"X-Over (5"" 'O' X 4-3/4"" 'B')",-,2.5,H2S,5K,"Otis 5""- 4 ACME","Bowen 4-3/4""- 4 ACME",1.56,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (5-3/4"" 'O' X 5"" 'O')",-,3,H2S,5K,"Otis 5-3/4""- 4 ACME","Otis 5""- 4 ACME",1.5,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (5-1/2"" 'B' X 6-1/2"" 'O')",-,3,H2S,5K,"Bowen 5-1/2""- 4x2 ACME","Otis 6-1/2""- 4 ACME",1.5,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (5"" 'O' X 8-1/4"" 'O')",-,3,H2S,5K,"Otis 5""- 4 ACME","Otis 8-1/4""- 4 ACME",1,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,Exwell,"X-Over (5-1/2"" 'B' X 8-3/4"" 'O')",-,3,H2S,5K,"Bowen 5-1/2""- 4x2 ACME","Otis 8-3/4""- 4 ACME",1.5,20,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,NOV,"X-Over (5-3/4"" 'O' X 11-1/2"" 'O')",-,3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 11-1/2""- 4 ACME",1.5,150,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,NOV,"X-Over (5-3/4"" 'O' X 9"" 'O')",-,3,H2S,10K,"Otis 5-3/4""- 4 ACME","Otis 9""- 4 ACME",1.5,150,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,NOV,"X-Over (11-1/2"" 'O' X 9-1/2"" 'O')",-,4,H2S,10K,"Otis 11-1/2""- 4 ACME","Otis 9-1/2""- 4 ACME",1.5,150,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,NOV,"X-Over (11-1/2"" 'O' X 11-1/2"" 'B')",-,6.63,H2S,10K,"Otis 11-1/2""- 4 ACME","Bowen 11-1/2""- 4 ACME (Non Std)",1.5,150,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
X-Overs,NOV,"X-Over (9"" 'O' X 11-1/2"" 'O')",-,4,H2S,10K,"Otis 9""- 4 ACME","Otis 11-1/2""- 4 ACME",1.5,150,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
Stuffing Boxes,Paradigm,Parasheave + Antenna,-,,H2S,10K,,"Otis 5-3/4""- 4 ACME",8.3,152,Yes,,"Allows assembly of PCE with different connections, or for connecting PCE to wellheads"
